Peso,Volumen,Densidad,PesoRatio,VolumenAcu,PesoAcu,VolumenAcuRaiz,ProductoVxP,Densidadacu,sobredimension,Target
146.0567,0.1106,1320.5849909584088,520.2083602409639,0.1106,146.0567,3.3256578296631782,1.2082766109505405,-3.1207663570131814,0,1
483.5295,0.4109,1176.7571185203212,1991.7717048192771,0.5215,629.5862,11.689793848518459,2.2981591166744586,-3.081800887322999,0,1
84.3682,0.1014,832.0335305719921,526.475173493976,0.6229,713.9544,10.88735549267944,0.9322167385076702,-3.0592521435619875,0,1
16.5108,0.0299,552.2006688963211,163.60968192771085,0.6528,730.4652,5.705540546093028,-0.3065606949743627,-3.0488193848489824,0,1
5.3524,0.01,535.24,54.88856385542169,0.6628000000000001,735.8176,2.3886273351222096,-1.271451437971663,-3.0453876717492596,0,1
11.2491,0.0215,523.2139534883721,118.26897228915664,0.6843,747.0667,2.2661749205462387,-0.6164437625853821,-3.0381128384573226,0,1
28.6671,0.0593,483.424957841484,328.5618156626506,0.7436,775.7338,3.6658446883138947,0.23043845475513675,-3.0183733336828396,0,1
4.35,0.01,434.99999999999994,55.89096385542169,0.7536,780.0838,1.9146395713851458,-1.3615107430453628,-3.0150003692168377,0,1
3.53,0.01,353.0,56.71096385542169,0.7636000000000001,783.6138,1.3837050160294808,-1.4522252946121774,-3.0112361559051495,0,1
442.7968,1.5644,283.04576834569167,8981.299585542169,2.3280000000000003,1226.4106,14.712811176238617,2.8405522809425965,-2.7216529195390597,0,1
187.7872,0.6736,278.78147268408554,3870.0441253012045,3.0016000000000003,1414.1978,31.48102540946583,2.1020680649370207,-2.673157340598331,0,1
93.44,0.3507,266.4385514684916,2019.2106024096383,3.3523000000000005,1507.6378,33.22709077108567,1.5154685956498268,-2.652954140633953,0,0
63.2307,0.2422,261.0681255161024,1395.8054445783132,3.5945000000000005,1570.8685,28.368294599353256,1.1851021285350796,-2.6405013431047184,0,1
224.2467,0.8881,252.50163269902038,5125.7533,4.482600000000001,1795.1152,50.19350798030122,2.2991879307748024,-2.602562337497008,0,1
556.107,2.5062,221.89250658367246,14541.483361445784,6.988800000000001,2351.2222,112.15835666602419,3.1441740874443127,-2.5268910612954745,0,1
92.5328,0.4301,215.1425249941874,2498.431055421687,7.418900000000002,2443.755,69.45452411618483,1.5998651464718088,-2.5177181460938716,0,1
538.9417,2.6097,206.5148101314327,15182.142637349398,10.0286,2982.6967,134.63115225905466,3.148132373500012,-2.473368784299659,0,0
302.1682,1.6087,187.8337788276248,9388.795655421687,11.637300000000002,3284.8649,147.16695778575476,2.686723819333899,-2.450665282371812,0,0
45.3592,0.2421,187.35729037587774,1413.074534939759,11.879400000000002,3330.2241,59.69013359000902,1.040660175744366,-2.4476789533412604,0,0
524.6869,2.8654,183.11122356390032,16736.75888313253,14.744800000000001,3854.911,130.78077411791529,3.1770854777393622,-2.417375469645634,0,1
182.3028,1.1066,164.7413699620459,6483.962260240964,15.851400000000002,4037.2138,120.30045911753,2.3047840049401906,-2.406014123833088,0,1
126.0986,0.7853,160.5737934547307,4604.624291566265,16.6367,4163.3124,97.19668232249303,1.995745862331115,-2.3983718147057607,0,1
8.1087,0.0524,154.74618320610688,307.55395060240966,16.6891,4171.4211,22.56791118756593,-0.37171748002354826,-2.3978511166378724,0,1
1.5422,0.01,154.22,58.69876385542169,16.6991,4172.963299999999,4.750569564543385,-1.811859301211135,-2.397751499809651,0,1
50.6723,0.3568,142.01877802690584,2098.725290361446,17.0559,4223.6356,13.019228935037127,1.2571954629341422,-2.393811800731888,0,0
16.2386,0.1167,139.1482433590403,686.7734481927711,17.172600000000003,4239.874199999999,12.32616735534137,0.2776194401572018,-2.3925169169137352,0,1
1.2701,0.0103,123.31067961165049,60.77809277108434,17.182900000000004,4241.144299999999,3.5631379956439537,-1.883324859269218,-2.39238658645392,0,1
215.82,1.7614,122.52753491540818,10395.023373493976,18.944300000000005,4456.964299999999,25.052168100839616,2.579949680209352,-2.3715605928886436,0,1
303.9976,2.4883,122.17079934091547,14685.761436144578,21.432600000000004,4760.961899999998,78.95398019436337,2.87877289451443,-2.346619847279987,0,1
78.7793,0.6739,116.90057872087847,3980.859254216867,22.106500000000004,4839.741199999999,72.94318834064048,1.7250075739023532,-2.3403021502554098,0,1
24.494,0.2229,109.88784208165097,1318.2770843373494,22.329400000000003,4864.235199999998,40.32249580709106,0.7371697819869326,-2.3381375126208965,0,1
98.9474,0.9283,106.5898955079177,5493.221274698795,23.257700000000003,4963.182599999998,61.18118408279022,1.9630927373687632,-2.329193489305321,0,1
1.03,0.01,103.0,59.21096385542169,23.267700000000005,4964.212599999998,7.821840197983478,-1.9871627752948278,-2.3290969169251126,0,1
38.1531,0.3724,102.45193340494093,2205.220393975904,23.640100000000004,5002.3656999999985,17.067083200503383,1.1525395031505945,-2.325526128509186,0,1
79.7372,1.0374,76.86254096780412,6169.660390361447,24.677500000000006,5082.102899999998,42.07777573993451,1.917607224847252,-2.313742293611243,0,1
39.1902,0.6022,65.07837927598804,3588.520643373494,25.279700000000005,5121.293099999998,50.33809347858593,1.372918231002757,-2.3066077161621967,0,0
43.3127,0.6937,62.437220700591034,4135.602962650602,25.973400000000005,5164.605799999998,59.092753740281104,1.477786951850989,-2.298508374762075,0,1
15.1727,0.2653,57.19072747832643,1583.0200710843374,26.238700000000005,5179.7784999999985,39.594579890809015,0.6048001208654739,-2.2953688745910297,0,1
0.95,0.02,47.5,119.53192771084338,26.258700000000005,5180.728499999998,8.898829124194824,-1.7212463990471711,-2.29511761185784,0,1
